event_id,market_id,slug,asset,duration,question,start_time,end_time,yes_token_id,no_token_id,resolution_source,volume,active,closed
126444,1035745,eth-updown-5m-1766906400,ETH,5m,"Ethereum Up or Down - December 28, 2:20AM-2:25AM ET",1766906400,1766906700,83473141063849152372211535340307143116883505424500217466437287512952110028443,52784169900597802628896921325333314485727256839132294629171899492674752272726,https://data.chain.link/streams/eth-usd,0.0,true,false
127928,1043311,eth-updown-5m-1766970600,ETH,5m,"Ethereum Up or Down - December 28, 8:10PM-8:15PM ET",1766970600,1766970900,4299250302395692812052795968728293669634644529830180079911502008855723895665,98693959696186932318448338887747698816523805950160763503523134590390470315612,https://data.chain.link/streams/eth-usd,0.0,true,false
127428,1040418,btc-updown-5m-1766948100,BTC,5m,"Bitcoin Up or Down - December 28, 1:55PM-2:00PM ET",1766948100,1766948400,86401717814352332867744755204316023677841706396017115437388298621904459380318,62798971685637059371675634793862812833089407044236074985825783632968936291850,https://data.chain.link/streams/btc-usd,0.0,true,false
127571,1041277,sol-updown-5m-1766953200,SOL,5m,"Solana Up or Down - December 28, 3:20PM-3:25PM ET",1766953200,1766953500,73970024128193621393584479717548086203473284758886271330281583784795932774845,18692596323739568574712922596710199739392924161739617344671077986267975493323,https://data.chain.link/streams/sol-usd,0.0,true,false
127247,1039383,btc-updown-5m-1766940600,BTC,5m,"Bitcoin Up or Down - December 28, 11:50AM-11:55AM ET",1766940600,1766940900,14340770911970154463859699191319828933195763928241018097662740201511994891557,7875982696509786349007814331765849959142154732829019684727779376400599081667,https://data.chain.link/streams/btc-usd,0.0,true,false
127164,1038982,btc-updown-5m-1766937900,BTC,5m,"Bitcoin Up or Down - December 28, 11:05AM-11:10AM ET",1766937900,1766938200,54774483731760308571479975951023545699757769460824754615794627789499077537910,58038948944884737611233077711008420871309525278458429286148500243842486194157,https://data.chain.link/streams/btc-usd,0.0,true,false
126730,1037068,btc-updown-5m-1766920200,BTC,5m,"Bitcoin Up or Down - December 28, 6:10AM-6:15AM ET",1766920200,1766920500,24912466906755836767642414969169820429247106379709072399406417590694300867316,112262424513480714824014559874168928041676765823669292679623478720954256513428,https://data.chain.link/streams/btc-usd,0.0,true,false
109981,964350,eth-updown-5m-1766162700,ETH,5m,"Ethereum Up or Down - December 19, 11:45AM-11:50AM ET",1766162700,1766163000,69536449073256375548019987013202953273769697012244734063132110898754322936256,40749133851497304010639788674936626839941095739021819805353317703495133539434,https://data.chain.link/streams/eth-usd,0.0,true,false
109986,964356,btc-updown-5m-1766163000,BTC,5m,"Bitcoin Up or Down - December 19, 11:50AM-11:55AM ET",1766163000,1766163300,101260638866292022443134265807587714222740384204323892651716854281326568526668,98813001457252630856199923063135379326113933642949548126949638747569656904924,https://data.chain.link/streams/btc-usd,0.0,true,false
126679,1036921,sol-updown-5m-1766918100,SOL,5m,"Solana Up or Down - December 28, 5:35AM-5:40AM ET",1766918100,1766918400,108542434051393604710135334865409859330852611349618755470925122025893873283193,106322317819301199473272965313140874302195104468169078163454097104744011064423,https://data.chain.link/streams/sol-usd,0.0,true,false
126783,1037374,btc-updown-5m-1766922900,BTC,5m,"Bitcoin Up or Down - December 28, 6:55AM-7:00AM ET",1766922900,1766923200,76633058748833136317686519885987460372035489634600546572434606224545234071173,27107008531017142291778078793594557438071698461783457782793847040101686877253,https://data.chain.link/streams/btc-usd,0.0,true,false
126197,1034023,eth-updown-15m-1766894400,ETH,5m,"Ethereum Up or Down - December 27, 11:00PM-11:15PM ET",1766894400,1766895300,44006312373653659931191665169766778806362365072259626874517817896057038434026,90748456776619054364690517550793163658179605765300169104011677651033561193390,https://data.chain.link/streams/eth-usd,0.0,true,false
